timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1539083107831,8,http://localhost/jpetstore/,200,HTTP/1.1 200,Thread Group 1-1,text,true,,1353,0,1,1,http://localhost:8080/jpetstore/,8,0,0
1539083107840,3,http://localhost/jpetstore/,200,HTTP/1.1 200,Thread Group 1-2,text,true,,1353,0,2,2,http://localhost:8080/jpetstore/,3,0,0
1539083107850,1,http://localhost/jpetstore/,200,HTTP/1.1 200,Thread Group 1-3,text,true,,1353,0,3,3,http://localhost:8080/jpetstore/,1,0,0
1539083107870,1,http://localhost/jpetstore/,200,HTTP/1.1 200,Thread Group 1-5,text,true,,1353,0,5,5,http://localhost:8080/jpetstore/,1,0,0
1539083107860,0,http://localhost/jpetstore/,200,HTTP/1.1 200,Thread Group 1-4,text,true,,1353,0,4,4,http://localhost:8080/jpetstore/,0,0,0
1539083107843,11,http://localhost/jpetstore/actions/Catalog.action,200,HTTP/1.1 200,Thread Group 1-2,text,true,,5482,0,3,3,http://localhost:8080/jpetstore/actions/Catalog.action,11,0,0
1539083107839,15,http://localhost/jpetstore/actions/Catalog.action,200,HTTP/1.1 200,Thread Group 1-1,text,true,,5482,0,3,3,http://localhost:8080/jpetstore/actions/Catalog.action,15,0,0
1539083107851,3,http://localhost/jpetstore/actions/Catalog.action,200,HTTP/1.1 200,Thread Group 1-3,text,true,,5482,0,3,3,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1539083107875,1,http://localhost/jpetstore/actions/Catalog.action,200,HTTP/1.1 200,Thread Group 1-5,text,true,,5482,0,5,5,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1539083107875,1,http://localhost/jpetstore/actions/Catalog.action,200,HTTP/1.1 200,Thread Group 1-4,text,true,,5482,0,5,5,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1539083107882,1,http://localhost/jpetstore/,200,HTTP/1.1 200,Thread Group 1-6,text,true,,1353,0,6,6,http://localhost:8080/jpetstore/,1,0,0
1539083107875,9,http://localhost/jpetstore/actions/Catalog.action;jsessionid=3AD39CB8B56FDB42B44B9AEC56AA0E3B,200,HTTP/1.1 200,Thread Group 1-2,text,true,,3889,0,6,6,http://localhost:8080/jpetstore/actions/Catalog.action;jsessionid=3AD39CB8B56FDB42B44B9AEC56AA0E3B,9,0,0
