[LOG4JCORE-EXTENDED]:Sim: 1.0  phaseNum: 0 Learning Data Size: [3]; numOfMethods: [429]; <Known phase>
[LOG4JCORE-EXTENDED]:Sim: 1.0  phaseNum: 0 Learning Data Size: [3]; numOfMethods: [429]; <Known phase>
[LOG4JCORE-EXTENDED]:Sim: 1.0  phaseNum: 0 Learning Data Size: [3]; numOfMethods: [429]; <Known phase>
[LOG4JCORE-EXTENDED]:Sim: 1.0  phaseNum: 0 Learning Data Size: [3]; numOfMethods: [429]; <Known phase>
[LOG4JCORE-EXTENDED]:Sim: 1.0  phaseNum: 0 Learning Data Size: [3]; numOfMethods: [429]; <Known phase>
[LOG4JCORE-EXTENDED]:Sim: 0.9997918184634462  phaseNum: 0 Learning Data Size: [3]; numOfMethods: [429]; <Known phase>
[LOG4JCORE-EXTENDED]:Sim: 1.0  phaseNum: 0 Learning Data Size: [3]; numOfMethods: [429]; <Known phase>
[LOG4JCORE-EXTENDED]:Sim: 0.9997918184634461  phaseNum: 0 Learning Data Size: [3]; numOfMethods: [429]; <Known phase>
[LOG4JCORE-EXTENDED]:Sim: 0.9997418355449427  phaseNum: 0 Learning Data Size: [3]; numOfMethods: [429]; <Known phase>
[LOG4JCORE-EXTENDED]:Sim: 1.0  phaseNum: 0 Learning Data Size: [3]; numOfMethods: [429]; <Known phase>
[LOG4JCORE-EXTENDED]:Sim: 1.0  phaseNum: 0 Learning Data Size: [3]; numOfMethods: [429]; <Known phase>
[LOG4JCORE-EXTENDED]:Sim: 1.0  phaseNum: 0 Learning Data Size: [3]; numOfMethods: [429]; <Known phase>
[LOG4JCORE-EXTENDED]:Sim: 1.0  phaseNum: 0 Learning Data Size: [3]; numOfMethods: [429]; <Known phase>
[LOG4JCORE-EXTENDED]:Sim: 1.0  phaseNum: 0 Learning Data Size: [3]; numOfMethods: [429]; <Known phase>
[LOG4JCORE-EXTENDED]:Sim: 1.0  phaseNum: 0 Learning Data Size: [3]; numOfMethods: [429]; <Known phase>
[LOG4JCORE-EXTENDED]:Sim: 1.0  phaseNum: 0 Learning Data Size: [3]; numOfMethods: [429]; <Known phase>
[LOG4JCORE-EXTENDED]:Sim: 0.9472527438083174  phaseNum: 1 Learning Data Size: [3]; numOfMethods: [429]; <Unknown phase>
[LOG4JCORE-EXTENDED]:Sim: 0.975473534493676  phaseNum: 1 Learning Data Size: [3]; numOfMethods: [429]; <Known phase>
[LOG4JCORE-EXTENDED]:Sim: 0.9980525784828885  phaseNum: 0 Learning Data Size: [3]; numOfMethods: [429]; <Known phase>
[LOG4JCORE-EXTENDED]:Sim: 1.0  phaseNum: 0 Learning Data Size: [3]; numOfMethods: [429]; <Known phase>
[LOG4JCORE-EXTENDED]:Sim: 0.9999202112804022  phaseNum: 0 Learning Data Size: [3]; numOfMethods: [429]; <Known phase>
[LOG4JCORE-EXTENDED]:Sim: 1.0  phaseNum: 0 Learning Data Size: [3]; numOfMethods: [429]; <Known phase>
[LOG4JCORE-EXTENDED]:Sim: 1.0  phaseNum: 0 Learning Data Size: [3]; numOfMethods: [429]; <Known phase>
[LOG4JCORE-EXTENDED]:Sim: 1.0  phaseNum: 0 Learning Data Size: [3]; numOfMethods: [429]; <Known phase>
[LOG4JCORE-EXTENDED]:Sim: 1.0  phaseNum: 0 Learning Data Size: [3]; numOfMethods: [429]; <Known phase>
[LOG4JCORE-EXTENDED]:Sim: 1.0  phaseNum: 0 Learning Data Size: [3]; numOfMethods: [429]; <Known phase>
[LOG4JCORE-EXTENDED]:Sim: 1.0  phaseNum: 0 Learning Data Size: [3]; numOfMethods: [429]; <Known phase>
[LOG4JCORE-EXTENDED]:Sim: 1.0  phaseNum: 0 Learning Data Size: [3]; numOfMethods: [429]; <Known phase>
[LOG4JCORE-EXTENDED]:Sim: 1.0  phaseNum: 0 Learning Data Size: [3]; numOfMethods: [429]; <Known phase>
[LOG4JCORE-EXTENDED]:Sim: 1.0  phaseNum: 0 Learning Data Size: [3]; numOfMethods: [429]; <Known phase>
[LOG4JCORE-EXTENDED]:Sim: 1.0  phaseNum: 0 Learning Data Size: [3]; numOfMethods: [429]; <Known phase>
[LOG4JCORE-EXTENDED]:Sim: 1.0  phaseNum: 0 Learning Data Size: [3]; numOfMethods: [429]; <Known phase>
[LOG4JCORE-EXTENDED]:Sim: 1.0  phaseNum: 0 Learning Data Size: [3]; numOfMethods: [429]; <Known phase>
[LOG4JCORE-EXTENDED]:Sim: 0.9990561583550596  phaseNum: 0 Learning Data Size: [3]; numOfMethods: [429]; <Known phase>
[LOG4JCORE-EXTENDED]:Sim: 0.9753614395431033  phaseNum: 0 Learning Data Size: [3]; numOfMethods: [429]; <Known phase>
[LOG4JCORE-EXTENDED]:Sim: 1.0  phaseNum: 0 Learning Data Size: [3]; numOfMethods: [429]; <Known phase>
[LOG4JCORE-EXTENDED]:Sim: 1.0  phaseNum: 0 Learning Data Size: [3]; numOfMethods: [429]; <Known phase>
[LOG4JCORE-EXTENDED]:Sim: 0.9311338836485065  phaseNum: 0 Learning Data Size: [3]; numOfMethods: [429]; <Unknown phase>
[LOG4JCORE-EXTENDED]:Sim: 0.9253705634023865  phaseNum: 0 Learning Data Size: [3]; numOfMethods: [429]; <Unknown phase>
[LOG4JCORE-EXTENDED]:Sim: 1.0  phaseNum: 0 Learning Data Size: [4]; numOfMethods: [429]; <Known phase>
[LOG4JCORE-EXTENDED]:Sim: 1.0  phaseNum: 0 Learning Data Size: [4]; numOfMethods: [429]; <Known phase>
[LOG4JCORE-EXTENDED]:Sim: 0.9843150312230545  phaseNum: 0 Learning Data Size: [4]; numOfMethods: [429]; <Known phase>
[LOG4JCORE-EXTENDED]:Sim: 0.8491351408404839  phaseNum: 1 Learning Data Size: [4]; numOfMethods: [429]; <Unknown phase>
[LOG4JCORE-EXTENDED]:Sim: 0.9437892626490143  phaseNum: 3 Learning Data Size: [4]; numOfMethods: [429]; <Unknown phase>
[LOG4JCORE-EXTENDED]:Sim: 0.9980525784828885  phaseNum: 0 Learning Data Size: [4]; numOfMethods: [429]; <Known phase>
[LOG4JCORE-EXTENDED]:Sim: 0.9555379943696255  phaseNum: 3 Learning Data Size: [4]; numOfMethods: [429]; <Known phase>
[LOG4JCORE-EXTENDED]:Sim: 0.8611171079226737  phaseNum: 1 Learning Data Size: [4]; numOfMethods: [429]; <Unknown phase>
[LOG4JCORE-EXTENDED]:Sim: 0.99419162560192  phaseNum: 0 Learning Data Size: [4]; numOfMethods: [429]; <Known phase>
[LOG4JCORE-EXTENDED]:Sim: 0.9961164901835046  phaseNum: 0 Learning Data Size: [4]; numOfMethods: [429]; <Known phase>
[LOG4JCORE-EXTENDED]:Sim: 0.9449111825230682  phaseNum: 0 Learning Data Size: [4]; numOfMethods: [429]; <Unknown phase>
[LOG4JCORE-EXTENDED]:Sim: 0.9908673886137245  phaseNum: 0 Learning Data Size: [4]; numOfMethods: [429]; <Known phase>
[LOG4JCORE-EXTENDED]:Sim: 0.9847319278346618  phaseNum: 0 Learning Data Size: [4]; numOfMethods: [429]; <Known phase>
[LOG4JCORE-EXTENDED]:Sim: 0.9383196832725205  phaseNum: 3 Learning Data Size: [4]; numOfMethods: [429]; <Unknown phase>
[LOG4JCORE-EXTENDED]:Sim: 0.9948497511671097  phaseNum: 0 Learning Data Size: [5]; numOfMethods: [429]; <Known phase>
[LOG4JCORE-EXTENDED]:Sim: 0.9922778767136677  phaseNum: 0 Learning Data Size: [5]; numOfMethods: [429]; <Known phase>
[LOG4JCORE-EXTENDED]:Sim: 0.983494740586804  phaseNum: 4 Learning Data Size: [5]; numOfMethods: [429]; <Known phase>
[LOG4JCORE-EXTENDED]:Sim: 0.9449111825230679  phaseNum: 4 Learning Data Size: [5]; numOfMethods: [429]; <Unknown phase>
[LOG4JCORE-EXTENDED]:Sim: 0.9950371902099892  phaseNum: 0 Learning Data Size: [5]; numOfMethods: [429]; <Known phase>
[LOG4JCORE-EXTENDED]:Sim: 0.9836443733741066  phaseNum: 4 Learning Data Size: [5]; numOfMethods: [429]; <Known phase>
[LOG4JCORE-EXTENDED]:Sim: 0.9715070923839902  phaseNum: 2 Learning Data Size: [5]; numOfMethods: [429]; <Known phase>
[LOG4JCORE-EXTENDED]:Sim: 0.9719101024389492  phaseNum: 2 Learning Data Size: [5]; numOfMethods: [429]; <Known phase>
[LOG4JCORE-EXTENDED]:Sim: 0.9745853860167073  phaseNum: 2 Learning Data Size: [5]; numOfMethods: [429]; <Known phase>
[LOG4JCORE-EXTENDED]:Sim: 0.9723816835742116  phaseNum: 2 Learning Data Size: [5]; numOfMethods: [429]; <Known phase>
[LOG4JCORE-EXTENDED]:Sim: 0.9731571874705472  phaseNum: 2 Learning Data Size: [5]; numOfMethods: [429]; <Known phase>
[LOG4JCORE-EXTENDED]:Sim: 0.9632804802372725  phaseNum: 2 Learning Data Size: [5]; numOfMethods: [429]; <Known phase>
[LOG4JCORE-EXTENDED]:Sim: 0.9745853860167073  phaseNum: 2 Learning Data Size: [5]; numOfMethods: [429]; <Known phase>
[LOG4JCORE-EXTENDED]:Sim: 0.9728719263910551  phaseNum: 2 Learning Data Size: [5]; numOfMethods: [429]; <Known phase>
[LOG4JCORE-EXTENDED]:Sim: 0.9731571874705472  phaseNum: 2 Learning Data Size: [5]; numOfMethods: [429]; <Known phase>
[LOG4JCORE-EXTENDED]:Sim: 0.9719430170819943  phaseNum: 2 Learning Data Size: [5]; numOfMethods: [429]; <Known phase>
[LOG4JCORE-EXTENDED]:Sim: 0.9712620402241354  phaseNum: 2 Learning Data Size: [5]; numOfMethods: [429]; <Known phase>
[LOG4JCORE-EXTENDED]:Sim: 0.9731571874705472  phaseNum: 2 Learning Data Size: [5]; numOfMethods: [429]; <Known phase>
